label,best_k,silhouette_score,cluster_id,top_bigrams
a,2,0.1286,0,"machine learning, time series, cryptocurrency market, deep learning, short term, price prediction, bitcoin price, learning models, social media, long short"
a,2,0.1286,1,"machine learning, money laundering, blockchain technology, learning algorithms, deep learning, learning techniques, cryptocurrency transactions, real world, f1 score, smart contracts"
b,2,0.0897,0,"real estate, machine learning, housing prices, estate market, learning techniques, land use, social media, case study, long term, study aims"
b,2,0.0897,1,"real estate, machine learning, random forest, price prediction, house price, estate market, housing prices, learning algorithms, house prices, estate price"
c,2,0.1481,0,"machine learning, gold price, gold prices, crude oil, learning models, bitcoin price, time series, deep learning, covid 19, stock market"
c,2,0.1481,1,"ng ml, gold standard, sars cov, colloidal gold, limit detection, gold nanoparticles, detection limit, machine learning, covid 19, immunochromatographic strip"
d,7,0.0734,0,"alzheimer disease, disease ad, csf tau, tdp 43, neurofibrillary tangles, ad nfts, nft density, braak nft, white matter, ptdp 43"
d,7,0.0734,1,"energy dispersive, ray fluorescence, scanning electron, electron microscopy, dispersive ray, raman spectroscopy, ground layers, micro raman, non invasive, optical microscopy"
d,7,0.0734,2,"machine learning, cell painting, neural network, non fungible, random forest, fungible tokens, artificial intelligence, drug discovery, deep learning, learning algorithms"
d,7,0.0734,3,"mu ml, chromosome painting, painting probes, mg kg, situ hybridization, cell lines, fluorescence situ, cutaneous basophil, skin painting, hybridization fish"
d,7,0.0734,4,"mu ml, mg ml, oriental lacquer, nitrofurantoin nft, ysz electrolyte, thread based, ng ml, supramolecular polymers, peach gum, fzd nft"
d,7,0.0734,5,"machine learning, artificial intelligence, neural network, deep learning, chinese painting, cultural heritage, visual art, fine art, art painting, digital art"
d,7,0.0734,6,"amino acids, mg ml, nutrient film, 100 ml, foliar application, mu ml, cpp acp, film technique, nutrient solution, porous asphalt"
e,2,0.0785,0,"stock price, machine learning, stock market, stock prices, time series, price prediction, neural network, deep learning, short term, long short"
e,2,0.0785,1,"stock price, machine learning, stock market, social media, crash risk, stock prices, sentiment analysis, investor sentiment, price prediction, price crash"
